"provincia","count","lc0_desc","lc1_desc","lu1_desc"
"Burgos","2","Grassland","Grassland with sparse tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","2","Grassland","Spontaneously re-vegetated surfaces","Semi-natural and natural areas not in use"
"Burgos","2","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","2","Woodland","Pine dominated coniferous woodland","Semi-natural and natural areas not in use"
"Burgos","1","Bareland","Other bare soil","Semi-natural and natural areas not in use"
"Burgos","1","Woodland","Other coniferous woodland","Semi-natural and natural areas not in use"
"Burgos","1","Grassland","Grassland with sparse tree/shrub cover","Community services"
"Burgos","1","Woodland","Other mixed woodland","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","1","Grassland","Spontaneously re-vegetated surfaces","Other abandoned areas"
"Burgos","1","Cropland","Triticale","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","1","Cropland","Nuts trees","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","1","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","1","Woodland","Pine dominated mixed woodland","Semi-natural and natural areas not in use"
"Burgos","1","Shrubland","Shrubland with sparse tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","1","Cropland","Other Leguminous  and mixtures for fodder","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","1","Grassland","Grassland with sparse tree/shrub cover","Forestry"
"Burgos","1","Cropland","Rape and turnip rape","Agriculture (excluding fallow land and kitchen gardens)"
"Burgos","1","Grassland","Grassland without tree/shrub cover","Other abandoned areas"
"Cáceres","16","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","16","Woodland","Broadleaved woodland","Forestry"
"Cáceres","5","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","4","Shrubland","Shrubland without tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","4","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","4","Bareland","Other bare soil","Fallow land"
"Cáceres","3","Grassland","Grassland with sparse tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","2","Cropland","Maize","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","2","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","2","Cropland","Temporary grassland","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","2","Cropland","Tomatoes","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","2","Cropland","Olive groves","Other abandoned areas"
"Cáceres","1","Grassland","Grassland with sparse tree/shrub cover","Semi-natural and natural areas not in use"
"Cáceres","1","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","1","Cropland","Other fruit trees and berries","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","1","Shrubland","Shrubland with sparse tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","1","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Cáceres","1","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Cáceres","1","Cropland","Vineyards","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","3","Cropland","Sunflower","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","3","Cropland","Cotton","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","2","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","2","Cropland","Durum wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","2","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","1","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","1","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Cádiz","1","Bareland","Other bare soil","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","1","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","1","Cropland","Other Leguminous  and mixtures for fodder","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","1","Cropland","Dry pulses","Agriculture (excluding fallow land and kitchen gardens)"
"Cádiz","1","Bareland","Other bare soil","Fallow land"
"Cantabria","20","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cantabria","10","Woodland","Broadleaved woodland","Forestry"
"Cantabria","8","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Cantabria","4","Grassland","Grassland with sparse tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cantabria","3","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Cantabria","3","Shrubland","Shrubland without tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cantabria","2","Shrubland","Shrubland without tree cover","Semi-natural and natural areas not in use"
"Cantabria","2","Bareland","Other bare soil","Fallow land"
"Cantabria","1","Woodland","Pine dominated coniferous woodland","Semi-natural and natural areas not in use"
"Cantabria","1","Grassland","Grassland without tree/shrub cover","Semi-natural and natural areas not in use"
"Cantabria","1","Artificial land","Other artificial areas","Electricity gas and thermal power distribution"
"Cantabria","1","Woodland","Broadleaved woodland","Agriculture (excluding fallow land and kitchen gardens)"
"Cantabria","1","Cropland","Temporary grassland","Agriculture (excluding fallow land and kitchen gardens)"
"Cantabria","1","Shrubland","Shrubland with sparse tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Cantabria","1","Woodland","Pine dominated coniferous woodland","Forestry"
"Cantabria","1","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Cantabria","1","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Cantabria","1","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Cantabria","1","Shrubland","Shrubland without tree cover","Energy production"
"Castellón / Castelló","3","Cropland","Nuts trees","Agriculture (excluding fallow land and kitchen gardens)"
"Castellón / Castelló","2","Cropland","Oranges","Agriculture (excluding fallow land and kitchen gardens)"
"Castellón / Castelló","1","Grassland","Grassland with sparse tree/shrub cover","Other abandoned areas"
"Castellón / Castelló","1","Woodland","Pine dominated coniferous woodland","Forestry"
"Castellón / Castelló","1","Artificial land","Other artificial areas","Electricity gas and thermal power distribution"
"Castellón / Castelló","1","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Castellón / Castelló","1","Cropland","Other citrus fruit","Agriculture (excluding fallow land and kitchen gardens)"
"Ceuta","3","Woodland","Broadleaved woodland","Forestry"
"Ceuta","1","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Ceuta","1","Cropland","Other fruit trees and berries","Other abandoned areas"
"Ceuta","1","Woodland","Pine dominated coniferous woodland","Forestry"
"Ceuta","1","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Ceuta","1","Cropland","Other Leguminous  and mixtures for fodder","Agriculture (excluding fallow land and kitchen gardens)"
"Ceuta","1","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Ceuta","1","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Ceuta","1","Bareland","Other bare soil","Fallow land"
"Ciudad Real","21","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","16","Bareland","Other bare soil","Fallow land"
"Ciudad Real","12","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","10","Cropland","Vineyards","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","7","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Ciudad Real","6","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","4","Bareland","Other bare soil","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","3","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","3","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","3","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","2","Cropland","Mix of cereals","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","1","Cropland","Nuts trees","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","1","Grassland","Grassland with sparse tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","1","Cropland","Dry pulses","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","1","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Ciudad Real","1","Woodland","Broadleaved woodland","Other primary production"
"Ciudad Real","1","Cropland","Durum wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Ciudad Real","1","Woodland","Broadleaved woodland","Forestry"
"Córdoba","15","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","10","Cropland","Durum wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","6","Cropland","Sunflower","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","2","Grassland","Grassland without tree/shrub cover","Semi-natural and natural areas not in use"
"Córdoba","2","Cropland","Cotton","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","1","Shrubland","Shrubland without tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","1","Cropland","Nuts trees","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","1","Cropland","Dry pulses","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","1","Shrubland","Shrubland without tree cover","Other abandoned areas"
"Córdoba","1","Cropland","Other non-permanent industrial crops","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","1","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","1","Cropland","Rape and turnip rape","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","1","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","1","Cropland","Other fresh vegetables","Agriculture (excluding fallow land and kitchen gardens)"
"Córdoba","1","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Cuenca","28","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","22","Cropland","Sunflower","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","17","Bareland","Other bare soil","Fallow land"
"Cuenca","16","Woodland","Pine dominated coniferous woodland","Forestry"
"Cuenca","10","Shrubland","Shrubland without tree cover","Semi-natural and natural areas not in use"
"Cuenca","7","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Cuenca","5","Cropland","Dry pulses","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","5","Shrubland","Shrubland with sparse tree cover","Semi-natural and natural areas not in use"
"Cuenca","5","Woodland","Pine dominated coniferous woodland","Semi-natural and natural areas not in use"
"Cuenca","5","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Cuenca","3","Woodland","Broadleaved woodland","Forestry"
"Cuenca","3","Woodland","Pine dominated mixed woodland","Forestry"
"Cuenca","3","Woodland","Other coniferous woodland","Forestry"
