Depth;POINTID;OC;TH_LAT;TH_LONG;SURVEY_DATE;Elev;LC0_Desc;LC1_Desc;LU1_Desc
0-20 cm;44862714;45.5;47.51765133;12.18957868;21/06/18;719;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;44862732;75.7;47.67957179;12.19645997;07/07/18;634;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;44882726;46.9;47.62506295;12.22074192;07/07/18;477;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;44922728;46.6;47.64196001;12.27469785;03/06/18;669;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;44962698;254.7;47.37097705;12.31576804;30/05/18;11131;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45002638;53.8;46.8300065;12.34438732;15/06/18;1827;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45102712;57.4;47.49280984;12.50698978;08/07/18;737;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45182714;182.8;47.50830875;12.61393798;08/07/18;1042;Woodland;Other mixed woodland;Forestry
0-20 cm;45202708;446.2;47.45370555;12.63770525;08/07/18;1102;Woodland;Other coniferous woodland;Forestry
0-20 cm;45242636;98.2;46.80472927;12.65759174;14/06/18;1746;Grassland;Grassland with sparse tree/shrub cover;Forestry
0-20 cm;45362638;12.7;46.81873947;12.81552096;14/06/18;663;Artificial land;Other artificial areas;Electricity, gas and thermal power distribution
0-20 cm;42882682;44.4;47.2507092;9.564397972;24/07/18;442;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;42942690;47.7;47.32300903;9.643104368;25/07/18;480;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;42982676;55.4;47.19714783;9.696710862;24/07/18;501;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;43002704;27.7;47.44925415;9.721739747;09/07/18;10456;Wetlands;Inland marshes;Semi-natural and natural areas not in use
0-20 cm;43122702;27.4;47.43154245;9.880786578;04/07/18;667;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;43122714;35.8;47.53954963;9.880537765;01/06/18;569;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
