id,datoid,band,long,lat,read,map,map_rescaled
40049,4868,11,2.016372574114963,38.685660306416636,8.7,1291,0.1291
40050,6046,08,3.0388236021327577,37.277745923818266,2.73,1308.5,0.13085
40051,13587,8A,4.939809463566349,37.896340544161,4.3,1326.5,0.13265
40052,8468,05,2.6052260644864886,37.68334601064291,1.66,1327.5,0.13275
40053,3905,07,2.873605709300721,39.16138637273521,7.47,1298,0.1298
40054,8528,03,2.604131275073318,37.86089417592014,0.53,1402,0.1402
40055,5766,08,3.1880375150031144,37.57665676114431,0.64,1308.5,0.13085
40056,11235,8A,3.4577399991418054,37.93140486738983,0.88,1326.5,0.13265
40057,8593,8A,2.2448053617498176,37.505427405798464,1.23,1326.5,0.13265
40058,8424,8A,2.1857017748297314,37.542650645146715,2.53,1326.5,0.13265
40059,3964,06,2.69328207812927,38.9873790849842,2.37,1296,0.1296
40060,8735,06,1.8595458793861828,37.95249277236803,3.25,1296,0.1296
40061,4267,8A,2.51435143841776,38.63687875120673,0.9,1326.5,0.13265
40062,8491,11,2.3346083830245434,37.61231743156964,4.75,1291,0.1291
40063,4193,12,3.053293936918886,38.17935172224647,1.36,1301.5,0.13015
40064,8289,07,3.3012127964405438,39.2587976635498,8.89,1298,0.1298
40065,4747,03,1.6091993362839219,38.69663994230282,14.63,1402,0.1402
40066,4454,04,1.833726133180753,39.151238496950775,7.44,1317,0.1317
40067,4142,04,3.5473731013855945,38.28519629311087,2.24,1317,0.1317
40068,7732,02,4.176092662544682,38.7070991316566,1.68,1600,0.16
40069,13391,8A,4.400826195026053,38.320434540642204,5.79,1326.5,0.13265
40070,7520,05,4.670227864817128,39.09139878381984,3.96,1327.5,0.13275
40071,8809,12,1.75891663629341,37.81537304199643,2.07,1301.5,0.13015
40072,7767,03,4.131283570583748,38.63689462345334,1.89,1402,0.1402
40073,7450,06,4.131293617341886,39.26563096454494,2.57,1296,0.1296
40074,8692,12,1.9971422813356388,37.44570568112705,2.57,1301.5,0.13015
40075,8380,08,3.5677075718711238,39.21043812585495,9.14,1308.5,0.13085
40076,4825,11,3.3227864659110575,37.96719876368582,0.94,1291,0.1291
40077,8643,06,2.4693846211575567,37.327058503124505,4.47,1296,0.1296
40078,13603,12,4.982928170504327,38.10909816374712,1.98,1301.5,0.13015
40079,8417,04,1.8718149788068437,37.55963165573263,2.31,1317,0.1317
40080,7990,06,4.091944571017784,38.50663298468612,8.14,1296,0.1296
40081,5985,08,3.098398537777368,37.14844247422372,4.92,1308.5,0.13085
40082,5166,08,2.5144605504871147,38.14405036589383,1.32,1308.5,0.13085
40083,11310,12,3.9064603655757697,37.82537035405971,1.1,1301.5,0.13015
40084,4321,05,1.5524208300676332,39.02794354915109,23.82,1327.5,0.13275
40085,4131,03,3.008207306857664,38.28523977787513,4.61,1402,0.1402
40086,8221,06,3.2780842195700175,38.812838065916196,1.03,1296,0.1296
40087,5076,07,2.7388735155660884,38.42629559991868,1.76,1298,0.1298
40088,4377,07,1.9906716067496608,38.89768799030172,8.98,1298,0.1298
40089,3815,05,2.8721514096192697,39.29930489154781,11.46,1327.5,0.13275
40090,4566,12,1.7355108456144122,38.818450346663816,17.91,1301.5,0.13015
